"","k","f","type"
"糞",2968,11,"糞"
"講到",2969,11,"講到"
"藉口",2970,11,"藉口"
"轉貼",2971,11,"轉貼"
"釐清",2972,11,"釐清"
"蘇",2973,11,"蘇"
"警察局",2974,11,"警察局"
"黨國",2975,11,"黨國"
"飆車族",2976,11,"飆車族"
"權益",2977,11,"權益"
"＃",2978,10,"＃"
"＊",2979,10,"＊"
"08",2980,10,"08"
"119",2981,10,"119"
"19",2982,10,"19"
"5月",2983,10,"5月"
"BBS",2984,10,"BBS"
"CELL",2985,10,"CELL"
"I",2986,10,"I"
"ip",2987,10,"ip"
"lol",2988,10,"lol"
"lpboyboy",2989,10,"lpboyboy"
"NIKE",2990,10,"NIKE"
"ps",2991,10,"ps"
"RO",2992,10,"RO"
"YU",2993,10,"YU"
"ZARA",2994,10,"ZARA"
"人心",2995,10,"人心"
"丸",2996,10,"丸"
"大多",2997,10,"大多"
"大便王",2998,10,"大便王"
"大聲",2999,10,"大聲"
"女友",3000,10,"女友"
"小時候",3001,10,"小時候"
"不了了之",3002,10,"不了了之"
"不公",3003,10,"不公"
"不成",3004,10,"不成"
"不法",3005,10,"不法"
"不愧",3006,10,"不愧"
"中天",3007,10,"中天"
"之中",3008,10,"之中"
"五子棋",3009,10,"五子棋"
"反擊",3010,10,"反擊"
"太空",3011,10,"太空"
"太過",3012,10,"太過"
"少數",3013,10,"少數"
"引用",3014,10,"引用"
"文阿",3015,10,"文阿"
"文筆",3016,10,"文筆"
"月份",3017,10,"月份"
"水泥",3018,10,"水泥"
"爪爪",3019,10,"爪爪"
"王清",3020,10,"王清"
"主動",3021,10,"主動"
"以來",3022,10,"以來"
"兄",3023,10,"兄"
"充滿",3024,10,"充滿"
"功力",3025,10,"功力"
"失業",3026,10,"失業"
"平安",3027,10,"平安"
"平衡",3028,10,"平衡"
"打包",3029,10,"打包"
"民代",3030,10,"民代"
"犯法",3031,10,"犯法"
"交通",3032,10,"交通"
"光碟",3033,10,"光碟"
"全文",3034,10,"全文"
"劣文",3035,10,"劣文"
"危害",3036,10,"危害"
"吃完",3037,10,"吃完"
"吃到",3038,10,"吃到"
"吉",3039,10,"吉"
"同樣",3040,10,"同樣"
"回鍋",3041,10,"回鍋"
"地步",3042,10,"地步"
"地點",3043,10,"地點"
"如下",3044,10,"如下"
"存檔",3045,10,"存檔"
"成大",3046,10,"成大"
"旨",3047,10,"旨"
"有名",3048,10,"有名"
"有期徒刑",3049,10,"有期徒刑"
"有無",3050,10,"有無"
"污衊",3051,10,"污衊"
"百姓",3052,10,"百姓"
"自身",3053,10,"自身"
"作法",3054,10,"作法"
"克",3055,10,"克"
"免職",3056,10,"免職"
"即日",3057,10,"即日"
"告別式",3058,10,"告別式"
"床",3059,10,"床"
"技",3060,10,"技"
"投資",3061,10,"投資"
"沒良心",3062,10,"沒良心"
"沒法",3063,10,"沒法"
"身分",3064,10,"身分"
"防",3065,10,"防"
"並且",3066,10,"並且"
"乖乖",3067,10,"乖乖"
"事蹟",3068,10,"事蹟"
"來人",3069,10,"來人"
"刻意",3070,10,"刻意"
"周杰倫",3071,10,"周杰倫"
"妹妹",3072,10,"妹妹"
"抵",3073,10,"抵"
"押",3074,10,"押"
"拉票",3075,10,"拉票"
"板板主",3076,10,"板板主"
"法務",3077,10,"法務"
"注音文",3078,10,"注音文"
"爭取",3079,10,"爭取"
"版版主",3080,10,"版版主"
"版面",3081,10,"版面"
"版眾",3082,10,"版眾"
"南韓",3083,10,"南韓"
"哉",3084,10,"哉"
"宣傳",3085,10,"宣傳"
"屌拉",3086,10,"屌拉"
"既得利益",3087,10,"既得利益"
"毒",3088,10,"毒"
"看成",3089,10,"看成"
"看清楚",3090,10,"看清楚"
"秒鐘",3091,10,"秒鐘"
"美金",3092,10,"美金"
"苦",3093,10,"苦"
"要不",3094,10,"要不"
"計程車",3095,10,"計程車"
"面前",3096,10,"面前"
"首長",3097,10,"首長"
"修訂版",3098,10,"修訂版"
"剝奪",3099,10,"剝奪"
"原住民",3100,10,"原住民"
"哼",3101,10,"哼"
"捐血",3102,10,"捐血"
"效應",3103,10,"效應"
"旁邊",3104,10,"旁邊"
"時刻",3105,10,"時刻"
"神奇",3106,10,"神奇"
"秩序",3107,10,"秩序"
"茶",3108,10,"茶"
"討",3109,10,"討"
"追究",3110,10,"追究"
"配合",3111,10,"配合"
"酒",3112,10,"酒"
"健康",3113,10,"健康"
"偶像",3114,10,"偶像"
"區區",3115,10,"區區"
"國軍",3116,10,"國軍"
"崇拜",3117,10,"崇拜"
"常用",3118,10,"常用"
"強調",3119,10,"強調"
"得了",3120,10,"得了"
"掃",3121,10,"掃"
"接到",3122,10,"接到"
"推出",3123,10,"推出"
"推動",3124,10,"推動"
"敘述",3125,10,"敘述"
"清風",3126,10,"清風"
"猜猜",3127,10,"猜猜"
"猝死",3128,10,"猝死"
"理念",3129,10,"理念"
"產品",3130,10,"產品"
"眾",3131,10,"眾"
"細節",3132,10,"細節"
"聊天",3133,10,"聊天"
"處罰",3134,10,"處罰"
"規模",3135,10,"規模"
"訪問",3136,10,"訪問"
"貪",3137,10,"貪"
"勝利",3138,10,"勝利"
"單向",3139,10,"單向"
"報名",3140,10,"報名"
"普通",3141,10,"普通"
"無力",3142,10,"無力"
"發動",3143,10,"發動"
"等待",3144,10,"等待"
"肅貪",3145,10,"肅貪"
"詐欺",3146,10,"詐欺"
"詞",3147,10,"詞"
"跑路",3148,10,"跑路"
"開出",3149,10,"開出"
"開玩笑",3150,10,"開玩笑"
"開頭",3151,10,"開頭"
"順",3152,10,"順"
"亂版",3153,10,"亂版"
"亂象",3154,10,"亂象"
"傷人",3155,10,"傷人"
"傻傻",3156,10,"傻傻"
"填",3157,10,"填"
"想不到",3158,10,"想不到"
"想必",3159,10,"想必"
"愈",3160,10,"愈"
"感",3161,10,"感"
"新台幣",3162,10,"新台幣"
"暗示",3163,10,"暗示"
"極限",3164,10,"極限"
"當天",3165,10,"當天"
"禽獸",3166,10,"禽獸"
"聖殿",3167,10,"聖殿"
"腦子",3168,10,"腦子"
"萬惡",3169,10,"萬惡"
"詳",3170,10,"詳"
"較",3171,10,"較"
"過來",3172,10,"過來"
"隔",3173,10,"隔"
"電玩",3174,10,"電玩"
"電視台",3175,10,"電視台"
"實話",3176,10,"實話"
"彰化",3177,10,"彰化"
"徹底",3178,10,"徹底"
"漂亮",3179,10,"漂亮"
"疑問",3180,10,"疑問"
"睡著",3181,10,"睡著"
"精品",3182,10,"精品"
"認證",3183,10,"認證"
"說出",3184,10,"說出"
"說出來",3185,10,"說出來"
"說成",3186,10,"說成"
"輔",3187,10,"輔"
"輕鬆",3188,10,"輕鬆"
"頗",3189,10,"頗"
"颱風",3190,10,"颱風"
"噓噓",3191,10,"噓噓"
"寫信",3192,10,"寫信"
"播",3193,10,"播"
"獎金",3194,10,"獎金"
"衛生",3195,10,"衛生"
"衛隊",3196,10,"衛隊"
"衝阿",3197,10,"衝阿"
"誹謗罪",3198,10,"誹謗罪"
"調",3199,10,"調"
"適用",3200,10,"適用"
"閱讀",3201,10,"閱讀"
"靠近",3202,10,"靠近"
"噢",3203,10,"噢"
"戰績",3204,10,"戰績"
"糗",3205,10,"糗"
"駭",3206,10,"駭"
"幫補",3207,10,"幫補"
"濫",3208,10,"濫"
"聯合報",3209,10,"聯合報"
"臉書",3210,10,"臉書"
"舉證",3211,10,"舉證"
"擺爛",3212,10,"擺爛"
"翻譯",3213,10,"翻譯"
"職",3214,10,"職"
"職位",3215,10,"職位"
"轉文",3216,10,"轉文"
"醫生",3217,10,"醫生"
"爆破",3218,10,"爆破"
"關切",3219,10,"關切"
"騙人",3220,10,"騙人"
"龐大",3221,10,"龐大"
"蘇貞昌",3222,10,"蘇貞昌"
"警政署",3223,10,"警政署"
"騷擾",3224,10,"騷擾"
"屬",3225,10,"屬"
"護生",3226,10,"護生"
"權貴",3227,10,"權貴"
"驗",3228,10,"驗"
"體系",3229,10,"體系"
"觀看",3230,10,"觀看"
"觀點",3231,10,"觀點"
"0121",3232,9,"0121"
"05",3233,9,"05"
"10000",3234,9,"10000"
"10月",3235,9,"10月"
"150",3236,9,"150"
"2000年",3237,9,"2000年"
"2014",3238,9,"2014"
"300",3239,9,"300"
"44",3240,9,"44"
"4月",3241,9,"4月"
"88",3242,9,"88"
"98",3243,9,"98"
"call",3244,9,"call"
"d",3245,9,"d"
"GO",3246,9,"GO"
"Good",3247,9,"Good"
"Gossiping",3248,9,"Gossiping"
"GUTS",3249,9,"GUTS"
"NaNaShinichi",3250,9,"NaNaShinichi"
"o",3251,9,"o"
"ONE_PIECE",3252,9,"ONE_PIECE"
"orz",3253,9,"orz"
"Pinata",3254,9,"Pinata"
"Tenchi",3255,9,"Tenchi"
"Wii",3256,9,"Wii"
"wow",3257,9,"wow"
"XDDDDDDDDDDDDDDDDD",3258,9,"XDDDDDDDDDDDDDDDDD"
"york",3259,9,"york"
"youkul",3260,9,"youkul"
"ZZZ",3261,9,"ZZZ"
"一方面",3262,9,"一方面"
"一致",3263,9,"一致"
"一萬",3264,9,"一萬"
"人道",3265,9,"人道"
"十足",3266,9,"十足"
"三審",3267,9,"三審"
"上位",3268,9,"上位"
"大約",3269,9,"大約"
"女人",3270,9,"女人"
"工業區",3271,9,"工業區"
"工資",3272,9,"工資"
"不見了",3273,9,"不見了"
"不配",3274,9,"不配"
"不痛不癢",3275,9,"不痛不癢"
"中午",3276,9,"中午"
"今",3277,9,"今"
"公信力",3278,9,"公信力"
"公家",3279,9,"公家"
"六輕",3280,9,"六輕"
"切",3281,9,"切"
"升官",3282,9,"升官"
"友",3283,9,"友"
"天真",3284,9,"天真"
"心臟",3285,9,"心臟"
"支援",3286,9,"支援"
"文哥",3287,9,"文哥"
"木",3288,9,"木"
"止",3289,9,"止"
"毛毛",3290,9,"毛毛"
"牛",3291,9,"牛"
"主持",3292,9,"主持"
"以免",3293,9,"以免"
"加重",3294,9,"加重"
"北村",3295,9,"北村"
"台南市",3296,9,"台南市"
"外面",3297,9,"外面"
"夯",3298,9,"夯"
"奶茶",3299,9,"奶茶"
"巧",3300,9,"巧"
"市政府",3301,9,"市政府"
"打棒球",3302,9,"打棒球"
"打壓",3303,9,"打壓"
"打擊",3304,9,"打擊"
"本板",3305,9,"本板"
"正面",3306,9,"正面"
"民生",3307,9,"民生"
"犯錯",3308,9,"犯錯"
"生存",3309,9,"生存"
"生產",3310,9,"生產"
"白冰冰",3311,9,"白冰冰"
"目",3312,9,"目"
"目標",3313,9,"目標"
"任命",3314,9,"任命"
"休閒",3315,9,"休閒"
"全民",3316,9,"全民"
"印",3317,9,"印"
"回到",3318,9,"回到"
"多一點",3319,9,"多一點"
"好扯",3320,9,"好扯"
"字眼",3321,9,"字眼"
"安",3322,9,"安"
"成功嶺",3323,9,"成功嶺"
"扛",3324,9,"扛"
"早點",3325,9,"早點"
"有得",3326,9,"有得"
"死者",3327,9,"死者"
"肉",3328,9,"肉"
"自以為是",3329,9,"自以為是"
"自願",3330,9,"自願"
"行蹤",3331,9,"行蹤"
"兵役",3332,9,"兵役"
"吸毒",3333,9,"吸毒"
"坐牢",3334,9,"坐牢"
"妨礙",3335,9,"妨礙"
"完美",3336,9,"完美"
"尾",3337,9,"尾"
"形容",3338,9,"形容"
"投訴",3339,9,"投訴"
"更何況",3340,9,"更何況"
"每天",3341,9,"每天"
"男女",3342,9,"男女"
"私下",3343,9,"私下"
"事務",3344,9,"事務"
"使得",3345,9,"使得"
"依據",3346,9,"依據"
"兩樣",3347,9,"兩樣"
"卸任",3348,9,"卸任"
"奇蹟",3349,9,"奇蹟"
"官威",3350,9,"官威"
"屆",3351,9,"屆"
"幸好",3352,9,"幸好"
"承辦",3353,9,"承辦"
"拔",3354,9,"拔"
"招標",3355,9,"招標"
"放任",3356,9,"放任"
"旺旺",3357,9,"旺旺"
"欣神",3358,9,"欣神"
"法庭",3359,9,"法庭"
"狗屁",3360,9,"狗屁"
"玩玩",3361,9,"玩玩"
"長相",3362,9,"長相"
"雨",3363,9,"雨"
"保留",3364,9,"保留"
"保險套",3365,9,"保險套"
"品質",3366,9,"品質"
"後悔",3367,9,"後悔"
"思想",3368,9,"思想"
"拜壺",3369,9,"拜壺"
"拼命",3370,9,"拼命"
"星期五",3371,9,"星期五"
"昨晚",3372,9,"昨晚"
"省長",3373,9,"省長"
"看見",3374,9,"看見"
"看熱鬧",3375,9,"看熱鬧"
"砍下來",3376,9,"砍下來"
"科學園區",3377,9,"科學園區"
"美",3378,9,"美"
"胖虎",3379,9,"胖虎"
"負",3380,9,"負"
"軍權",3381,9,"軍權"
"重視",3382,9,"重視"
"飛機",3383,9,"飛機"
"首先",3384,9,"首先"
"凌晨",3385,9,"凌晨"
"峰迴路轉",3386,9,"峰迴路轉"
"師",3387,9,"師"
"旅",3388,9,"旅"
"校長",3389,9,"校長"
"格",3390,9,"格"
"案情",3391,9,"案情"
"氣象局",3392,9,"氣象局"
"特權",3393,9,"特權"
"粉絲",3394,9,"粉絲"
"純推",3395,9,"純推"
"逃",3396,9,"逃"
"酒店",3397,9,"酒店"
"高棉",3398,9,"高棉"
"偵辦",3399,9,"偵辦"
"偷偷",3400,9,"偷偷"
"動物",3401,9,"動物"
"動畫",3402,9,"動畫"
"匿名",3403,9,"匿名"
"唱",3404,9,"唱"
"專家",3405,9,"專家"
"強烈",3406,9,"強烈"
"強暴",3407,9,"強暴"
"強暴犯",3408,9,"強暴犯"
"得票率",3409,9,"得票率"
"捧",3410,9,"捧"
"接手",3411,9,"接手"
"推說",3412,9,"推說"
"敗壞",3413,9,"敗壞"
"晚餐文",3414,9,"晚餐文"
"殺生",3415,9,"殺生"
"毫無",3416,9,"毫無"
"涼",3417,9,"涼"
"混亂",3418,9,"混亂"
"移駕",3419,9,"移駕"
"組務板",3420,9,"組務板"
"組織",3421,9,"組織"
"統治",3422,9,"統治"
"統媒",3423,9,"統媒"
"聊",3424,9,"聊"
"莫名其妙",3425,9,"莫名其妙"
"規",3426,9,"規"
"規劃",3427,9,"規劃"
"貪汙",3428,9,"貪汙"
"造勢",3429,9,"造勢"
"連署",3430,9,"連署"
"部落",3431,9,"部落"
"都市",3432,9,"都市"
"釣到",3433,9,"釣到"
"頂",3434,9,"頂"
"啾咪",3435,9,"啾咪"
"揭發",3436,9,"揭發"
"款",3437,9,"款"
"港",3438,9,"港"
"發作",3439,9,"發作"
"發起",3440,9,"發起"
"筆友",3441,9,"筆友"
"菜鳥",3442,9,"菜鳥"
"註明",3443,9,"註明"
"開槍",3444,9,"開槍"
"集中",3445,9,"集中"
"順利",3446,9,"順利"
"須",3447,9,"須"
"黑金",3448,9,"黑金"
"傷",3449,9,"傷"
"募款",3450,9,"募款"
"廉政署",3451,9,"廉政署"
"新兵",3452,9,"新兵"
"新聞系",3453,9,"新聞系"
"新增",3454,9,"新增"
"楊茲荃",3455,9,"楊茲荃"
"業務",3456,9,"業務"
"毀",3457,9,"毀"
"聖誕節",3458,9,"聖誕節"
"詢問",3459,9,"詢問"
"詳情",3460,9,"詳情"
"農業",3461,9,"農業"
"達文西",3462,9,"達文西"
"電子",3463,9,"電子"
"預算",3464,9,"預算"
"頓",3465,9,"頓"
"圖利",3466,9,"圖利"
"團",3467,9,"團"
"滴",3468,9,"滴"
"漏洞",3469,9,"漏洞"
"疑似",3470,9,"疑似"
"監禁",3471,9,"監禁"
"監獄",3472,9,"監獄"
"監聽",3473,9,"監聽"
"管道",3474,9,"管道"
"肇事者",3475,9,"肇事者"
"製造",3476,9,"製造"
"認",3477,9,"認"
"說清楚",3478,9,"說清楚"
"餅",3479,9,"餅"
"噁",3480,9,"噁"
"審判",3481,9,"審判"
"層",3482,9,"層"
"徵",3483,9,"徵"
"德",3484,9,"德"
"撫恤金",3485,9,"撫恤金"
"暫",3486,9,"暫"
"暫時",3487,9,"暫時"
"熱血",3488,9,"熱血"
"熱鬧",3489,9,"熱鬧"
"誹謗",3490,9,"誹謗"
"論卦",3491,9,"論卦"
"論點",3492,9,"論點"
"賞",3493,9,"賞"
"賠償",3494,9,"賠償"
"踢爆",3495,9,"踢爆"
"器材",3496,9,"器材"
"學術",3497,9,"學術"
"學歷",3498,9,"學歷"
"導演",3499,9,"導演"
"戰神",3500,9,"戰神"
"縣長",3501,9,"縣長"
"螢幕",3502,9,"螢幕"
"踴躍",3503,9,"踴躍"
"隨時",3504,9,"隨時"
"頭推",3505,9,"頭推"
"餐",3506,9,"餐"
"應用",3507,9,"應用"
"檢舉板",3508,9,"檢舉板"
"講出來",3509,9,"講出來"
"謝長廷",3510,9,"謝長廷"
"還不如",3511,9,"還不如"
"醜陋",3512,9,"醜陋"
"簡直",3513,9,"簡直"
"懶得",3514,9,"懶得"
"藥",3515,9,"藥"
"證",3516,9,"證"
"難度",3517,9,"難度"
"寶傑",3518,9,"寶傑"
"覺",3519,9,"覺"
"攝影師",3520,9,"攝影師"
"爛人",3521,9,"爛人"
"魔",3522,9,"魔"
"蘿莉",3523,9,"蘿莉"
"變更",3524,9,"變更"
"驚人",3525,9,"驚人"
"觀光",3526,9,"觀光"
"鑽",3527,9,"鑽"
"＼",3528,8,"＼"
"ˇ",3529,8,"ˇ"
"⊙",3530,8,"⊙"
"◆",3531,8,"◆"
"←",3532,8,"←"
"07",3533,8,"07"
"11月",3534,8,"11月"
"2000",3535,8,"2000"
"2100",3536,8,"2100"
"33",3537,8,"33"
"38",3538,8,"38"
"741085",3539,8,"741085"
"90萬",3540,8,"90萬"
"airphone",3541,8,"airphone"
"B",3542,8,"B"
"by",3543,8,"by"
"GOGOGO",3544,8,"GOGOGO"
"HIGH",3545,8,"HIGH"
"JAY",3546,8,"JAY"
"l",3547,8,"l"
"L",3548,8,"L"
"metalguy",3549,8,"metalguy"
"NANA",3550,8,"NANA"
"od",3551,8,"od"
"SYSOP",3552,8,"SYSOP"
"test",3553,8,"test"
"valater",3554,8,"valater"
"xb",3555,8,"xb"
"XDDDDDDDDDDDDDDDD",3556,8,"XDDDDDDDDDDDDDDDD"
"ω",3557,8,"ω"
"乙",3558,8,"乙"
"人事",3559,8,"人事"
"人格",3560,8,"人格"
"人選",3561,8,"人選"
"十三",3562,8,"十三"
"三樓",3563,8,"三樓"
"上萬",3564,8,"上萬"
"上演",3565,8,"上演"
"下列",3566,8,"下列"
"口令",3567,8,"口令"
"土地",3568,8,"土地"
"大部份",3569,8,"大部份"
"大會",3570,8,"大會"
"大道",3571,8,"大道"
"大韓民國",3572,8,"大韓民國"
"女支",3573,8,"女支"
"小小",3574,8,"小小"
"小蔣",3575,8,"小蔣"
"工具",3576,8,"工具"
"工讀生",3577,8,"工讀生"
"不定",3578,8,"不定"
"中國人",3579,8,"中國人"
"仇視",3580,8,"仇視"
"允許",3581,8,"允許"
"公共",3582,8,"公共"
"公務",3583,8,"公務"
"公理",3584,8,"公理"
"公訴",3585,8,"公訴"
"公訴罪",3586,8,"公訴罪"
"反駁",3587,8,"反駁"
"天堂",3588,8,"天堂"
"巴哈",3589,8,"巴哈"
"巴風特",3590,8,"巴風特"
"文盲",3591,8,"文盲"
"文學獎",3592,8,"文學獎"
"比例",3593,8,"比例"
"主任",3594,8,"主任"
"以牙還牙",3595,8,"以牙還牙"
"冬山河",3596,8,"冬山河"
"出包",3597,8,"出包"
"出名",3598,8,"出名"
"出門",3599,8,"出門"
"加註",3600,8,"加註"
"北郝",3601,8,"北郝"
"司機",3602,8,"司機"
"外洩",3603,8,"外洩"
"失職",3604,8,"失職"
"平",3605,8,"平"
"必勝",3606,8,"必勝"
"打死",3607,8,"打死"
"末",3608,8,"末"
"正直",3609,8,"正直"
"母親",3610,8,"母親"
"民意代表",3611,8,"民意代表"
"民調",3612,8,"民調"
"玉",3613,8,"玉"
"吃相",3614,8,"吃相"
"名片",3615,8,"名片"
"名牌",3616,8,"名牌"
"地球",3617,8,"地球"
"好屌",3618,8,"好屌"
"存",3619,8,"存"
"年金",3620,8,"年金"
"年度",3621,8,"年度"
"年頭",3622,8,"年頭"
"成衣",3623,8,"成衣"
"成員",3624,8,"成員"
"成語",3625,8,"成語"
"收集",3626,8,"收集"
"有心",3627,8,"有心"
"死亡",3628,8,"死亡"
"汝",3629,8,"汝"
"百萬",3630,8,"百萬"
"竹科",3631,8,"竹科"
"老大",3632,8,"老大"
"老是",3633,8,"老是"
"伸",3634,8,"伸"
"困難",3635,8,"困難"
"局長",3636,8,"局長"
"快要",3637,8,"快要"
"批示",3638,8,"批示"
"改掉",3639,8,"改掉"
"沒空",3640,8,"沒空"
"男孩",3641,8,"男孩"
"肚子",3642,8,"肚子"
"肝",3643,8,"肝"
"見獵心喜",3644,8,"見獵心喜"
"典範",3645,8,"典範"
"初",3646,8,"初"
"制裁",3647,8,"制裁"
"受不了",3648,8,"受不了"
"受害人",3649,8,"受害人"
"官司",3650,8,"官司"
"拖到",3651,8,"拖到"
"拘役",3652,8,"拘役"
"放話",3653,8,"放話"
"明白",3654,8,"明白"
"明確",3655,8,"明確"
"易懂",3656,8,"易懂"
"服",3657,8,"服"
"板眾",3658,8,"板眾"
"欣賞",3659,8,"欣賞"
"河蟹掉",3660,8,"河蟹掉"
"法治",3661,8,"法治"
"法規",3662,8,"法規"
"直",3663,8,"直"
"表",3664,8,"表"
"阻止",3665,8,"阻止"
"阿斗",3666,8,"阿斗"
"阿姨",3667,8,"阿姨"
"附近",3668,8,"附近"
"青年",3669,8,"青年"
"俗",3670,8,"俗"
"前任",3671,8,"前任"
"勁",3672,8,"勁"
"南",3673,8,"南"
"客氣",3674,8,"客氣"
"宣布",3675,8,"宣布"
"建設",3676,8,"建設"
"律師費",3677,8,"律師費"
"怒",3678,8,"怒"
"急救",3679,8,"急救"
"恤金",3680,8,"恤金"
"持",3681,8,"持"
"指姦",3682,8,"指姦"
"指揮部",3683,8,"指揮部"
"指稱",3684,8,"指稱"
"政大",3685,8,"政大"
"政權",3686,8,"政權"
"是也",3687,8,"是也"
"柬埔寨",3688,8,"柬埔寨"
"柯南",3689,8,"柯南"
"炸蝦",3690,8,"炸蝦"
"相同",3691,8,"相同"
"相對",3692,8,"相對"
"看下去",3693,8,"看下去"
"看中",3694,8,"看中"
"看樣子",3695,8,"看樣子"
"砍掉",3696,8,"砍掉"
"研發",3697,8,"研發"
"秋",3698,8,"秋"
"若是",3699,8,"若是"
"要不然",3700,8,"要不然"
"訂",3701,8,"訂"
"計畫",3702,8,"計畫"
"負責任",3703,8,"負責任"
"軍方",3704,8,"軍方"
"降低",3705,8,"降低"
"風險",3706,8,"風險"
"風聲",3707,8,"風聲"
"原波",3708,8,"原波"
"哪些",3709,8,"哪些"
"害怕",3710,8,"害怕"
"島",3711,8,"島"
"差距",3712,8,"差距"
"恐怕",3713,8,"恐怕"
"捅",3714,8,"捅"
"效率",3715,8,"效率"
"旁",3716,8,"旁"
"消費者",3717,8,"消費者"
"特定",3718,8,"特定"
"真實性",3719,8,"真實性"
"神人",3720,8,"神人"
"秘密",3721,8,"秘密"
"納稅",3722,8,"納稅"
"胸部",3723,8,"胸部"
"訊息",3724,8,"訊息"
"財產",3725,8,"財產"
"追殺",3726,8,"追殺"
"酒井",3727,8,"酒井"
"閃",3728,8,"閃"
"高官",3729,8,"高官"
"高達",3730,8,"高達"
"偵探",3731,8,"偵探"
"偽",3732,8,"偽"
"國內",3733,8,"國內"
"國王",3734,8,"國王"
"執行長",3735,8,"執行長"
"執法",3736,8,"執法"
"基層",3737,8,"基層"
"堅決",3738,8,"堅決"
"將軍",3739,8,"將軍"
"專門",3740,8,"專門"
"崩",3741,8,"崩"
"康靚",3742,8,"康靚"
"強制",3743,8,"強制"
"得以",3744,8,"得以"
"排版",3745,8,"排版"
"採用",3746,8,"採用"
"探子",3747,8,"探子"
"控告",3748,8,"控告"
"推國歌",3749,8,"推國歌"
"條文",3750,8,"條文"
"淚",3751,8,"淚"
"現",3752,8,"現"
"現象",3753,8,"現象"
"產",3754,8,"產"
"產值",3755,8,"產值"
"眼淚",3756,8,"眼淚"
"第三人",3757,8,"第三人"
"終身",3758,8,"終身"
"設定",3759,8,"設定"
"貨幣",3760,8,"貨幣"
"通知",3761,8,"通知"
"逞",3762,8,"逞"
"陳述",3763,8,"陳述"
"麥克風",3764,8,"麥克風"
"創作",3765,8,"創作"
"博士",3766,8,"博士"
"單",3767,8,"單"
"場合",3768,8,"場合"
"媒體人",3769,8,"媒體人"
"寒",3770,8,"寒"
"寒假",3771,8,"寒假"
"幾百",3772,8,"幾百"
"復活",3773,8,"復活"
"掌控",3774,8,"掌控"
"提拔",3775,8,"提拔"
"提高",3776,8,"提高"
"椅子",3777,8,"椅子"
"減少",3778,8,"減少"
"無害",3779,8,"無害"
"無線",3780,8,"無線"
"無論",3781,8,"無論"
"然",3782,8,"然"
"發行",3783,8,"發行"
"結局",3784,8,"結局"
"絕不",3785,8,"絕不"
"舒服",3786,8,"舒服"
"菜",3787,8,"菜"
"菲力",3788,8,"菲力"
"註",3789,8,"註"
"超屌",3790,8,"超屌"
"超讚",3791,8,"超讚"
"量",3792,8,"量"
"開票",3793,8,"開票"
"黃復興",3794,8,"黃復興"
"亂說",3795,8,"亂說"
"傳票",3796,8,"傳票"
"傳播",3797,8,"傳播"
"傻眼",3798,8,"傻眼"
"嗄",3799,8,"嗄"
"意",3800,8,"意"
"慈悲",3801,8,"慈悲"
"損失",3802,8,"損失"
"搜索",3803,8,"搜索"
"搭",3804,8,"搭"
"新進",3805,8,"新進"
"新聞稿",3806,8,"新聞稿"
"毀謗",3807,8,"毀謗"
"煩",3808,8,"煩"
"當上",3809,8,"當上"
"當場",3810,8,"當場"
"碰到",3811,8,"碰到"
"節",3812,8,"節"
"節制",3813,8,"節制"
"經歷",3814,8,"經歷"
"群組",3815,8,"群組"
"腳踏車",3816,8,"腳踏車"
"落選",3817,8,"落選"
"補習班",3818,8,"補習班"
"話說回來",3819,8,"話說回來"
"路人",3820,8,"路人"
"違規",3821,8,"違規"
"違憲",3822,8,"違憲"
"酬勞",3823,8,"酬勞"
"隔壁",3824,8,"隔壁"
"電台",3825,8,"電台"
"預言",3826,8,"預言"
"預留孔",3827,8,"預留孔"
"團結",3828,8,"團結"
"夢幻",3829,8,"夢幻"
"寧願",3830,8,"寧願"
"幕僚",3831,8,"幕僚"
"摸下體獲判",3832,8,"摸下體獲判"
"槍擊",3833,8,"槍擊"
"監察院",3834,8,"監察院"
"稱讚",3835,8,"稱讚"
"綜合",3836,8,"綜合"
"綠色",3837,8,"綠色"
"製片",3838,8,"製片"
"認錯",3839,8,"認錯"
"語言",3840,8,"語言"
"骯髒",3841,8,"骯髒"
"寫出來",3842,8,"寫出來"
"寫成",3843,8,"寫成"
"德國",3844,8,"德國"
"數量",3845,8,"數量"
"數據",3846,8,"數據"
"歐洲",3847,8,"歐洲"
"歐美",3848,8,"歐美"
"線索",3849,8,"線索"
"蔡",3850,8,"蔡"
"蔣",3851,8,"蔣"
"衝動",3852,8,"衝動"
"請假",3853,8,"請假"
"遭到",3854,8,"遭到"
"戰爭",3855,8,"戰爭"
"擋箭牌",3856,8,"擋箭牌"
"操控",3857,8,"操控"
"機",3858,8,"機"
"機密",3859,8,"機密"
"激動",3860,8,"激動"
"錄音",3861,8,"錄音"
"錄影",3862,8,"錄影"
"頭腦",3863,8,"頭腦"
"優良",3864,8,"優良"
"嬰兒",3865,8,"嬰兒"
"擠",3866,8,"擠"
"檢方",3867,8,"檢方"
"檢舉人",3868,8,"檢舉人"
"濫用",3869,8,"濫用"
"獲利",3870,8,"獲利"
"總部",3871,8,"總部"
"聯",3872,8,"聯"
"聯絡",3873,8,"聯絡"
"聲援",3874,8,"聲援"
"臉皮",3875,8,"臉皮"
"舉行",3876,8,"舉行"
"薛秋火",3877,8,"薛秋火"
